,clean_msg,target,char_count,word_count,digit_count,question_count,exclamation_count,dollar_count,cap_ratio,unique_words,repitition_factor,sentiment
0,point crazy available bug great world buffet cine got wat,0,111,10,0,0,0,0,0.02702702702702703,10,1.0,0.4019
1,lar joking,0,29,2,0,0,0,0,0.06896551724137931,2,1.0,0.2263
2,free entry wkly comp win cup final tit list may <num> text <num> receive entry question text rate apply <num>over<num>,1,155,20,25,0,0,0,0.06451612903225806,17,1.1764705882352942,0.7964
3,dun say early hor already say,0,49,6,0,0,0,0,0.04081632653061224,5,1.2,0.0
4,nah think life around though,0,61,5,0,0,0,0,0.03278688524590164,5,1.0,-0.1027
5,freeman hey darling week word back would like fun still xxx std chs send £<num> rev,1,147,16,4,1,2,1,0.047619047619047616,16,1.0,0.9062
6,even brother like speak treat like aid patent,0,77,8,0,0,0,0,0.025974025974025976,7,1.1428571428571428,0.7717
7,per request smell belle minnaminunginte vietnam set callertune caller press copy friend callertune,0,160,13,1,0,0,0,0.0625,12,1.0833333333333333,0.4939
8,winner valued network customer selected received £<num> prize reward claim call <num> claim code klein valid hour,1,157,17,19,0,3,1,0.07643312101910828,16,1.0625,0.9287
9,mobile month entitled update latest colour mobile camera free call mobile update free <num>,1,154,14,13,1,1,0,0.09090909090909091,10,1.4,0.8271
10,gonna home soon want talk stuff anymore tonight cried enough today,0,109,11,0,1,0,0,0.01834862385321101,11,1.0,-0.3182
11,six chance win cash <num> pound text send <num> cost <num>pday day stand apply reply info,1,136,16,22,0,1,0,0.125,15,1.0666666666666667,0.7003
12,urgent week free membership £<num> prize jackpot text word claim <num> wwwdbuknet located box <num>ldnw<num>a<num>rw<num>,1,155,15,20,0,2,1,0.25806451612903225,15,1.0,0.8126
13,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,0,196,15,0,0,0,0,0.015306122448979591,14,1.0714285714285714,0.8751
14,date sunday,0,35,2,0,0,2,0,0.7428571428571429,2,1.0,0.0
15,xxxmobilemovieclub use credit click link next text message click ottawa xxxmobilemovieclubcomnqjkgighjjgcbl,1,149,11,0,1,0,0,0.15436241610738255,10,1.1,0.3818
16,watching,0,26,1,0,0,0,0,0.038461538461538464,1,1.0,0.0
17,remember spell name yes naughty make wet,0,81,7,1,0,0,0,0.037037037037037035,7,1.0,0.4019
18,fine that's way feel that's way got,0,56,7,0,0,0,0,0.03571428571428571,5,1.4,0.2023
